fire_id,observation_year,summer_temp_c,summer_precip_mm,summer_vpd_kpa,temp_anomaly_c,precip_anomaly_mm,vpd_anomaly_kpa
19951080515,1986,13.193729357788527,3317.1830983231343,0.5203957852954235,-2.4587866870677644,-727.6896506524854,-0.0648811009030047
19951080996,1986,13.842735841942085,3153.3479260800746,0.5424676359861726,-2.242845842775227,-641.4920763708185,-0.06562433030022814
1986 7115,1987,15.09292241705833,3403.004720618433,0.5608002222945583,-0.37859575476899066,-565.216359745748,-0.012612355108244128
1988 7169,1987,15.421709095375943,3645.707661645416,0.5565886299366535,-0.3890744021933362,-431.8517549125687,-0.031476842868297245
1992 7079,1987,15.582019041209694,3779.8172534989667,0.5609267272079781,-0.27918322802880696,238.5813690406076,-0.03330372359453201
19951080515,1987,15.273358184703909,3673.5462804504273,0.5634469708205323,-0.3791578601523824,-371.32646852519247,-0.021829915377895914
19951080996,1987,15.860890141118544,4173.242700089879,0.5699884053299747,-0.22469154359876914,378.4026976389865,-0.03810356095642612
1986 7115,1988,14.808840630992572,3815.060343865864,0.5459433481681528,-0.6626775408347512,-153.16073649831748,-0.02746922923464952
1988 7169,1988,15.126974703378751,4380.257699094765,0.5452372713298054,-0.6838087941905286,302.6982825367803,-0.0428282014751452
1992 7079,1988,14.909496872248146,4286.955352610989,0.5207743345725151,-0.9517053969903552,745.7194681526296,-0.07345611622999494
19951080515,1988,14.977504618271553,4165.6574343791135,0.5521224090325689,-0.6750114265847387,120.78468540349377,-0.033154477165859286
19951080996,1988,15.415396573136553,5277.642876678984,0.5502097242092329,-0.6701851115807586,1482.8028742280908,-0.05788224207716803
1986 7115,1989,15.206732693584208,2801.8511604867995,0.5802004189101854,-0.2647854782431139,-1166.369919877382,0.006787841507383063
1988 7169,1989,15.568638404747913,2961.4734599333815,0.6037532040840129,-0.24214509282136787,-1116.085956624603,0.015687731279062214
1992 7079,1989,15.245190693801272,2890.3614139527676,0.5612591131748684,-0.616011575437231,-650.8744705055915,-0.03297133762764162
19951080515,1989,15.399422512883746,2824.290841028109,0.5966888339057652,-0.2530935319725458,-1220.581907947511,0.011411947707337
19951080996,1989,15.77517424508366,3562.1586701730407,0.6192397836146516,-0.3104074396336502,-232.6813322778522,0.011147817328250608
1986 7115,1990,15.29019958383819,3405.0166090480725,0.5776332096813053,-0.1813185879891304,-563.2044713161082,0.004220632278502852
1988 7169,1990,15.732754209920813,3261.1879344682593,0.5800736516688558,-0.0780292876484684,-816.3714820897255,-0.007991821136094757
1992 7079,1990,15.654162797144657,3725.745420941644,0.5694839244079267,-0.2070394720938418,184.50953648328513,-0.02474652639458324
19951080515,1990,15.497533465122842,3280.5254408121805,0.5761540736648705,-0.1549825797334492,-764.3473081634393,-0.009122812533557845
19951080996,1990,15.98542219663028,3264.2784262542145,0.580927729502313,-0.10015948808702665,-530.5615761966785,-0.02716423678408795
1986 7115,1991,15.779573244589823,3299.861443038191,0.6356995385150621,0.3080550727625055,-668.3596373259901,0.062286961112259745
1988 7169,1991,16.166265493967348,3119.5108969493085,0.651814934399873,0.3554819963980677,-958.0485196086761,0.0637494615949224
1992 7079,1991,16.513857242021334,2680.6041816272486,0.7033440928477377,0.6526549727828318,-860.6317028311107,0.10911364204522761
19951080515,1991,16.01088099410572,3086.1721170552946,0.6570549422587664,0.3583649492494274,-958.7006319203251,0.07177805606033805
19951080996,1991,16.612802916133194,2899.6576032549565,0.6857836285384712,0.5272212314158823,-895.1823991959365,0.0776916622520702
1986 7115,1992,12.976440384708354,3448.1105290775204,0.503817726370835,-2.495077787118964,-520.1105512866607,-0.06959485103196743
1988 7169,1992,13.382300869239915,3739.0704137967155,0.5122458518927313,-2.4284826283293657,-338.4890027612696,-0.07581962091221937
1992 7079,1992,13.300945406458512,3551.0019738243823,0.5518338949501956,-2.560256862779988,9.766089366022928,-0.04239655585231439
19951080515,1992,13.199878974582873,3492.3567379277074,0.5150701017073321,-2.4526370702734184,-552.5160110479123,-0.07020678449109619
19951080996,1992,13.639669612042317,4024.2647984497135,0.5318670254410504,-2.4459120726749934,229.42479599881975,-0.07622494084535043
1986 7115,1993,15.923152987725397,4444.563019355785,0.5756276413782506,0.451634815898078,476.34193899160397,0.002215063975448163
1988 7169,1993,16.23167423595363,3931.8228263979186,0.5763809352519199,0.4208907383843504,-145.73659016006638,-0.011684537553030745
1992 7079,1993,16.030431121998742,3668.374745188152,0.5682719164654255,0.16922885276024136,127.13886072979261,-0.025958534337084584
19951080515,1993,16.085335716302893,4390.422496463692,0.5774288739316009,0.4328196714466017,345.5497474880726,-0.007848012266827409
19951080996,1993,16.21478392329801,3859.123987784785,0.5638259253001597,0.12920223858070226,64.28398533389202,-0.04426604098624117
