fire_id,fire_year,observation_year,years_since_fire,area_ha,centroid_lat,centroid_lon,NBR,NDVI,NBR_pre,NDVI_pre,dNBR
19951081084,1995,2004,9,6925.0,48.658623331136546,-75.95534027646326,0.41992135485533677,0.255828713484421,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2005,10,6925.0,48.658623331136546,-75.95534027646326,0.45901491837189173,0.5097761921625402,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2006,11,6925.0,48.658623331136546,-75.95534027646326,0.38088794161400674,0.4590549123692791,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2007,12,6925.0,48.658623331136546,-75.95534027646326,0.5097780187178127,0.5840659482769963,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2008,13,6925.0,48.658623331136546,-75.95534027646326,0.3183747952357481,0.0585147548061057,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2009,14,6925.0,48.658623331136546,-75.95534027646326,0.4785016139620299,0.4316459251543016,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2010,15,6925.0,48.658623331136546,-75.95534027646326,0.45899185745004134,0.33205763504288494,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2011,16,6925.0,48.658623331136546,-75.95534027646326,0.5488009723982525,0.6191424166555172,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2012,17,6925.0,48.658623331136546,-75.95534027646326,0.5527769279955173,0.6836018017552176,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2013,18,6925.0,48.658623331136546,-75.95534027646326,0.5683097555495805,0.7129091164921961,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2014,19,6925.0,48.658623331136546,-75.95534027646326,0.5215155795844866,0.5606395145355665,0.55088220170932,0.6113261117580985,0.030968102168589473
19951081084,1995,2015,20,6925.0,48.658623331136546,-75.95534027646326,0.40430884730835603,0.3711698421265212,0.55088220170932,0.6113261117580985,0.030968102168589473
19961080302,1996,1993,-3,1088.0,48.84667981558052,-76.65210441308228,0.5879356628376214,0.5976397358396629,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,1994,-2,1088.0,48.84667981558052,-76.65210441308228,0.39159883116317945,0.08787358729471076,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,1995,-1,1088.0,48.84667981558052,-76.65210441308228,0.568424344165906,0.6934341064667943,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,1996,0,1088.0,48.84667981558052,-76.65210441308228,0.2406489338162843,0.41601733395515456,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,1997,1,1088.0,48.84667981558052,-76.65210441308228,0.051201384465669936,0.25986935334562306,0.568424344165906,0.5976397358396629,0.32777541034962177
19961080302,1996,1998,2,1088.0,48.84667981558052,-76.65210441308228,0.03325034452512016,0.41219313440465233,0.568424344165906,0.5976397358396629,0.32777541034962177
